language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.06  T=0.43 s (766.2 files/s 125847.7 lines/s)"
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/Charge/ChargeDetail/ChargeDetailViewController.swift,43,56,300
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Model/Entity/DrivingHistoryEntity.swift,26,5,296
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Model/Entity/GuestDriverMonitorDataEntity.swift,39,7,290
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/PinSetting/PinSettingViewController.swift,41,63,289
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/RemoteCheck/RemoteCheckTableViewWireframeCell.swift,27,23,284
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Utility/LocalAppUtility.swift,56,71,283
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/RemoteClimate/RemoteClimateTimerDetail/RemoteClimateTimerDetailViewController.swift,60,37,281
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/Charge/ChargeSetting/ChargeSettingViewController.swift,54,45,272
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/WarningNotice/WarningNoticeViewController.swift,45,58,267
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/RemoteCheck/RemoteCheckTableViewCell.swift,18,22,262
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Authentication/Auth0LoginManager.swift,55,39,258
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/ChargingHistory/ChargingHistoryGraph/ChargingHistoryGraphViewController.swift,36,130,253
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/GuestDriverMonitorDetail/GuestDriverMonitorEditModalViewController.swift,23,50,253
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/Charge/ChargeDetail/BaseBatteryView.swift,32,11,251
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Model/ChargeSetting.swift,24,12,243
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/RemoteClimate/RemoteClimateTimerEdit/RemoteClimateTimerEditViewController.swift,49,38,230
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/UserDefaultsData.swift,31,29,225
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/NotificationDetail/EmergencyNoticeView.swift,23,54,221
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/Charge/ChargeTimerEdit/ChargeTimerEditViewController.swift,32,47,213
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/StatisticalDrivingData/StatisticalDrivingDataViewController.swift,26,37,213
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/Information/InformationViewController.swift,49,35,207
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Model/TemporaryRegistrationAcReservationInfo.swift,19,28,206
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/ChangePin/ChangePinViewController.swift,34,32,201
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Model/Entity/RemoteClimateSettingsEntity.swift,26,6,195
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/ChargingHistory/ChargingHistoryViewController.swift,31,60,193
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/StationSearch/StationSearchViewController.swift,48,56,191
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Model/Entity/MemberAuthEntity/MemberAuthEntity.swift,27,1,187
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/TermsAndConditions/TermsAndConditionsViewController.swift,30,32,185
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/SelectVehicle/SelectVehicleViewController.swift,38,50,179
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/EnterPassword/EnterPasswordViewController.swift,42,31,175
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/ServiceManagement/ServiceManagementViewController.swift,32,20,172
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/MaintenanceMode/MaintenanceModeViewController.swift,34,39,171
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/AuthoritySetting/AuthoritySettingViewController.swift,41,22,168
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/GuestDriverMonitor/ModalPickerViewController.swift,23,29,167
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/IgOnOffVerificationComplete/IgOnOffVerificationCompleteViewController.swift,30,49,166
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/ServiceSettingComplete/ServiceSettingCompleteViewController.swift,36,38,163
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/NotificationDetail/ModalViewController.swift,13,32,160
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Model/Entity/GetApplicationInformation/RemoteConfilmInfo/APPInfoOperationOblivionDataEntity.swift,35,53,159
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/GuestDriverMonitor/DrivingTimeModalPickerViewController.swift,18,21,152
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/WarningHistory/WarningHistoryViewController.swift,32,30,151
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/Charge/ChargeTimerEdit/TimePickerViewController.swift,22,33,148
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/CarFinder/CarFinderSemiModalViewController.swift,23,48,147
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/ScrolledMenu/AcSemiModalViewController.swift,27,51,147
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/HTTP/JSONDataAdapter.swift,25,22,146
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/RemoteCheck/RemoteCheckModalViewController.swift,15,18,143
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Authentication/CommonAuthenticationController.swift,34,42,138
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Model/Entity/GetApplicationInformation/RmtSettableItem/APPInfoRmtSettableItemEntity.swift,17,41,138
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/RemoteClimate/RemoteClimateViewController.swift,26,14,138
Swift,/Users/quangdang/Documents/HiSol/TWS/ToyotaConnectSA/ToyotaConnectSA/Screen/RemoteClimate/RemoteClimateTimerAuthModalViewController.swift,28,20,137
